datetime,portfolio_value,cash,return
2022-01-03 09:30:00-05:00,100000.0,100000.0,
2022-01-03 09:31:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:32:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:33:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:34:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:35:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:36:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:37:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:38:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:39:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:40:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:41:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:42:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:43:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:44:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:45:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:46:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:47:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:48:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:49:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:50:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:51:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:52:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:53:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:54:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:55:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:56:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:57:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:58:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:59:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:00:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:01:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:02:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:03:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:04:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:05:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:06:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:07:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:08:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:09:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:10:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:11:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:12:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:13:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:14:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:15:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:16:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:17:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:18:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:19:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:20:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:21:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:22:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:23:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:24:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:25:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:26:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:27:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:28:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:29:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:30:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:31:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:32:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:33:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:34:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:35:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:36:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:37:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:38:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:39:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:40:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:41:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:42:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:43:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:44:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:45:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:46:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:47:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:48:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:49:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:50:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:51:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:52:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:53:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:54:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:55:00-05:00,100000.0,100000.0,0.0
2022-01-03 10:56:00-05:00,100000.0,100000.0,0.0
